2-oxoglutarate 3-dioxygenase	g16511	Q07353	1.904E-207	643	0.992	sp|Q07353|FL3H_PETHY Naringenin,2-oxoglutarate 3-dioxygenase (Fragment) OS=Petunia hybrida OX=4102 GN=AN3 PE=1 SV=1	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_eudicotyledons;-_Gunneridae;-_Pentapetalae;-_asterids;-_lamiids;o_Solanales;f_Solanaceae;-_Petunioideae;g_Petunia;s_Petunia x hybrida
flavonol synthase	g40863	Q9XHG2	2.594E-163	514	0.991	sp|Q9XHG2|FLS_MALDO Flavonol synthase/flavanone 3-hydroxylase OS=Malus domestica OX=3750 GN=FLS PE=2 SV=1	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_eudicotyledons;-_Gunneridae;-_Pentapetalae;-_rosids;-_fabids;o_Rosales;f_Rosaceae;-_Amygdaloideae;-_Maleae;g_Malus;s_Malus domestica
flavonol synthase	g54228	Q96330	1.826E-28	120	0.905	sp|Q96330|FLS1_ARATH Flavonol synthase/flavanone 3-hydroxylase OS=Arabidopsis thaliana OX=3702 GN=FLS1 PE=1 SV=1	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_eudicotyledons;-_Gunneridae;-_Pentapetalae;-_rosids;-_malvids;o_Brassicales;f_Brassicaceae;-_Camelineae;g_Arabidopsis;s_Arabidopsis thaliana
flavonol synthase	g54229	O04395	2.483E-28	120	0.915	sp|O04395|FLS_MATIN Flavonol synthase/flavanone 3-hydroxylase (Fragment) OS=Matthiola incana OX=3724 PE=2 SV=1	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_eudicotyledons;-_Gunneridae;-_Pentapetalae;-_rosids;-_malvids;o_Brassicales;f_Brassicaceae;-_Anchonieae;g_Matthiola;s_Matthiola incana
flavonoid 3',5'-hydroxylase	g44230	A0A4D6Q414	4.772E-86	292	0.995	sp|A0A4D6Q414|CYP2_CROXC Flavonoid 3',5'-hydroxylase CYP75B138 OS=Crocosmia x crocosmiiflora OX=1053288 GN=CYP75B138 PE=1 SV=1	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_Liliopsida;-_Petrosaviidae;o_Asparagales;f_Iridaceae;-_Crocoideae;-_Freesieae;g_Crocosmia;s_Crocosmia x crocosmiiflora
flavonoid 3',5'-hydroxylase	g38283	A0A4D6Q414	4.781E-112	374	0.932	sp|A0A4D6Q414|CYP2_CROXC Flavonoid 3',5'-hydroxylase CYP75B138 OS=Crocosmia x crocosmiiflora OX=1053288 GN=CYP75B138 PE=1 SV=1	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_Liliopsida;-_Petrosaviidae;o_Asparagales;f_Iridaceae;-_Crocoideae;-_Freesieae;g_Crocosmia;s_Crocosmia x crocosmiiflora
flavonoid 3',5'-hydroxylase	g4785	A0A4D6Q414	7.044E-110	368	0.928	sp|A0A4D6Q414|CYP2_CROXC Flavonoid 3',5'-hydroxylase CYP75B138 OS=Crocosmia x crocosmiiflora OX=1053288 GN=CYP75B138 PE=1 SV=1	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_Liliopsida;-_Petrosaviidae;o_Asparagales;f_Iridaceae;-_Crocoideae;-_Freesieae;g_Crocosmia;s_Crocosmia x crocosmiiflora
flavonoid 3'-monooxygenase	g17216	A0A4D6Q415	7.482E-101	342	0.963	sp|A0A4D6Q415|CYP1_CROXC Flavonoid 3'-monooxygenase CYP75B137 OS=Crocosmia x crocosmiiflora OX=1053288 GN=CYP75B137 PE=1 SV=1	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_Liliopsida;-_Petrosaviidae;o_Asparagales;f_Iridaceae;-_Crocoideae;-_Freesieae;g_Crocosmia;s_Crocosmia x crocosmiiflora
flavonoid 3'-monooxygenase	g43771	Q9SBQ9	2.519E-236	734	0.986	sp|Q9SBQ9|F3PH_PETHY Flavonoid 3'-monooxygenase OS=Petunia hybrida OX=4102 GN=CYP75B2 PE=2 SV=1	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_eudicotyledons;-_Gunneridae;-_Pentapetalae;-_asterids;-_lamiids;o_Solanales;f_Solanaceae;-_Petunioideae;g_Petunia;s_Petunia x hybrida
flavonoid 3'-monooxygenase	g17207	A0A4D6Q415	5.133E-103	348	0.992	sp|A0A4D6Q415|CYP1_CROXC Flavonoid 3'-monooxygenase CYP75B137 OS=Crocosmia x crocosmiiflora OX=1053288 GN=CYP75B137 PE=1 SV=1	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_Liliopsida;-_Petrosaviidae;o_Asparagales;f_Iridaceae;-_Crocoideae;-_Freesieae;g_Crocosmia;s_Crocosmia x crocosmiiflora
flavonoid 3'-monooxygenase	g67564	Q9SBQ9	2.409E-34	130	0.992	sp|Q9SBQ9|F3PH_PETHY Flavonoid 3'-monooxygenase OS=Petunia hybrida OX=4102 GN=CYP75B2 PE=2 SV=1	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_eudicotyledons;-_Gunneridae;-_Pentapetalae;-_asterids;-_lamiids;o_Solanales;f_Solanaceae;-_Petunioideae;g_Petunia;s_Petunia x hybrida
